set_id,workout_id,date,week,title,start_datetime,end_datetime,exercise_title,exercise_category,set_index,set_type,is_warmup,is_working_set,weight_kg,reps,volume_kg,bodyweight_kg,is_weighted_pullup,external_load_kg,total_load_kg,e1rm_kg,total_e1rm_kg,external_e1rm_kg,distance_km,duration_seconds,rpe,exercise_notes
2f491767057a_cable_fly_crossovers_0,2f491767057a,2022-12-21,2022-12-19/2022-12-25,Day 2,2022-12-21 20:08:00,2022-12-21 21:13:00,Cable Fly Crossovers,other,0,normal,False,True,20.0,10.0,200.0,85.1,False,20.0,20.0,26.666666666666664,26.666666666666664,26.666666666666664,,,,
2f491767057a_cable_fly_crossovers_0,2f491767057a,2022-12-21,2022-12-19/2022-12-25,Day 2,2022-12-21 20:08:00,2022-12-21 21:13:00,Cable Fly Crossovers,other,0,normal,False,True,15.0,10.0,150.0,85.1,False,15.0,15.0,20.0,20.0,20.0,,,,Rest 1'
2f491767057a_cable_fly_crossovers_1,2f491767057a,2022-12-21,2022-12-19/2022-12-25,Day 2,2022-12-21 20:08:00,2022-12-21 21:13:00,Cable Fly Crossovers,other,1,normal,False,True,20.0,10.0,200.0,85.1,False,20.0,20.0,26.666666666666664,26.666666666666664,26.666666666666664,,,,
2f491767057a_cable_fly_crossovers_1,2f491767057a,2022-12-21,2022-12-19/2022-12-25,Day 2,2022-12-21 20:08:00,2022-12-21 21:13:00,Cable Fly Crossovers,other,1,normal,False,True,15.0,10.0,150.0,85.1,False,15.0,15.0,20.0,20.0,20.0,,,,Rest 1'
2f491767057a_cable_fly_crossovers_2,2f491767057a,2022-12-21,2022-12-19/2022-12-25,Day 2,2022-12-21 20:08:00,2022-12-21 21:13:00,Cable Fly Crossovers,other,2,normal,False,True,20.0,10.0,200.0,85.1,False,20.0,20.0,26.666666666666664,26.666666666666664,26.666666666666664,,,,
2f491767057a_cable_fly_crossovers_2,2f491767057a,2022-12-21,2022-12-19/2022-12-25,Day 2,2022-12-21 20:08:00,2022-12-21 21:13:00,Cable Fly Crossovers,other,2,normal,False,True,15.0,10.0,150.0,85.1,False,15.0,15.0,20.0,20.0,20.0,,,,Rest 1'
2f491767057a_lat_pulldown_machine_0,2f491767057a,2022-12-21,2022-12-19/2022-12-25,Day 2,2022-12-21 20:08:00,2022-12-21 21:13:00,Lat Pulldown (Machine),other,0,normal,False,True,30.0,15.0,450.0,85.1,False,30.0,30.0,,,,,,,Rest 2'
2f491767057a_lat_pulldown_machine_1,2f491767057a,2022-12-21,2022-12-19/2022-12-25,Day 2,2022-12-21 20:08:00,2022-12-21 21:13:00,Lat Pulldown (Machine),other,1,normal,False,True,40.0,12.0,480.0,85.1,False,40.0,40.0,56.0,56.0,56.0,,,,Rest 2'
2f491767057a_lat_pulldown_machine_2,2f491767057a,2022-12-21,2022-12-19/2022-12-25,Day 2,2022-12-21 20:08:00,2022-12-21 21:13:00,Lat Pulldown (Machine),other,2,normal,False,True,40.0,10.0,400.0,85.1,False,40.0,40.0,53.33333333333333,53.33333333333333,53.33333333333333,,,,Rest 2'
2f491767057a_lat_pulldown_machine_3,2f491767057a,2022-12-21,2022-12-19/2022-12-25,Day 2,2022-12-21 20:08:00,2022-12-21 21:13:00,Lat Pulldown (Machine),other,3,normal,False,True,45.0,8.0,360.0,85.1,False,45.0,45.0,57.0,57.0,57.0,,,,Rest 2'
